ID,Host Name,Collection Date,Individual Sandwiches,Group Sandwiches,Group Collections Detail,Total Sandwiches,Submitted At,Created By
1630,"Dunwoody/PTC","2022-07-13",1645,0,"",1645,"6/8/2025, 1:04:36 PM","Admin User"
1621,"Dunwoody/PTC","2022-07-06",1067,0,"",1067,"6/8/2025, 1:04:36 PM","Admin User"
1624,"East Cobb/Roswell","2022-07-06",2167,0,"",2167,"6/8/2025, 1:04:36 PM","Admin User"
1619,"Alpharetta","2022-07-06",1144,0,"",1144,"6/8/2025, 1:04:35 PM","Admin User"
1626,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-07-06",210,0,"",210,"6/8/2025, 1:04:36 PM","Admin User"
1623,"Decatur","2022-07-06",107,0,"",107,"6/8/2025, 1:04:36 PM","Admin User"
1627,"Snellville","2022-07-06",187,0,"",187,"6/8/2025, 1:04:36 PM","Admin User"
1625,"Sandy Springs","2022-07-06",170,0,"",170,"6/8/2025, 1:04:36 PM","Admin User"
2886,"Peachtree Corners","2022-07-06",341,0,"",341,"6/14/2025, 12:28:12 AM","Admin User"
1620,"Buckhead","2022-07-06",107,0,"",107,"6/8/2025, 1:04:36 PM","Admin User"
2885,"Peachtree Corners","2022-06-29",591,0,"",591,"6/14/2025, 12:28:12 AM","Admin User"
1611,"Decatur","2022-06-29",54,0,"",54,"6/8/2025, 1:04:35 PM","Admin User"
1608,"Alpharetta","2022-06-29",2340,0,"",2340,"6/8/2025, 1:04:35 PM","Admin User"
1613,"Sandy Springs","2022-06-29",80,0,"",80,"6/8/2025, 1:04:35 PM","Admin User"
1614,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-06-29",185,0,"",185,"6/8/2025, 1:04:35 PM","Admin User"
1612,"East Cobb/Roswell","2022-06-29",3182,0,"",3182,"6/8/2025, 1:04:35 PM","Admin User"
1618,"Groups","2022-06-29",0,151,"Unnamed Groups: 151",151,"6/8/2025, 1:04:35 PM","Admin User"
1615,"Snellville","2022-06-29",82,0,"",82,"6/8/2025, 1:04:35 PM","Admin User"
1617,"Lenox/Brookhaven","2022-06-29",197,0,"",197,"6/8/2025, 1:04:35 PM","Admin User"
1609,"Dunwoody/PTC","2022-06-29",1837,0,"",1837,"6/8/2025, 1:04:35 PM","Admin User"
1597,"Buckhead","2022-06-22",278,0,"",278,"6/8/2025, 1:04:34 PM","Admin User"
1600,"Decatur","2022-06-22",114,0,"",114,"6/8/2025, 1:04:34 PM","Admin User"
1607,"Groups","2022-06-22",0,1750,"Unnamed Groups: 1750",1750,"6/8/2025, 1:04:34 PM","Admin User"
1602,"Sandy Springs","2022-06-22",44,0,"",44,"6/8/2025, 1:04:34 PM","Admin User"
1601,"East Cobb/Roswell","2022-06-22",2897,0,"",2897,"6/8/2025, 1:04:34 PM","Admin User"
1596,"Alpharetta","2022-06-22",1147,0,"",1147,"6/8/2025, 1:04:34 PM","Admin User"
1606,"Lenox/Brookhaven","2022-06-22",20,0,"",20,"6/8/2025, 1:04:34 PM","Admin User"
1603,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-06-22",235,0,"",235,"6/8/2025, 1:04:34 PM","Admin User"
2884,"Peachtree Corners","2022-06-22",703,0,"",703,"6/14/2025, 12:28:12 AM","Admin User"
1598,"Dunwoody/PTC","2022-06-22",3174,0,"",3174,"6/8/2025, 1:04:34 PM","Admin User"
1604,"Snellville","2022-06-22",104,0,"",104,"6/8/2025, 1:04:34 PM","Admin User"
1587,"Alpharetta","2022-06-15",1232,0,"",1232,"6/8/2025, 1:04:33 PM","Admin User"
1593,"Snellville","2022-06-15",160,0,"",160,"6/8/2025, 1:04:33 PM","Admin User"
1588,"Buckhead","2022-06-15",1170,0,"",1170,"6/8/2025, 1:04:33 PM","Admin User"
1592,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-06-15",93,0,"",93,"6/8/2025, 1:04:33 PM","Admin User"
1591,"East Cobb/Roswell","2022-06-15",2841,0,"",2841,"6/8/2025, 1:04:33 PM","Admin User"
1589,"Dunwoody/PTC","2022-06-15",2032,0,"",2032,"6/8/2025, 1:04:33 PM","Admin User"
2883,"Peachtree Corners","2022-06-15",557,0,"",557,"6/14/2025, 12:28:12 AM","Admin User"
1595,"Groups","2022-06-15",0,450,"Unnamed Groups: 450",450,"6/8/2025, 1:04:34 PM","Admin User"
2882,"Peachtree Corners","2022-06-08",453,0,"",453,"6/14/2025, 12:28:12 AM","Admin User"
1586,"Groups","2022-06-08",0,1809,"Unnamed Groups: 1809",1809,"6/8/2025, 1:04:33 PM","Admin User"
1585,"Lenox/Brookhaven","2022-06-08",19,0,"",19,"6/8/2025, 1:04:33 PM","Admin User"
1583,"Snellville","2022-06-08",170,0,"",170,"6/8/2025, 1:04:33 PM","Admin User"
1576,"Buckhead","2022-06-08",70,0,"",70,"6/8/2025, 1:04:32 PM","Admin User"
1582,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-06-08",270,0,"",270,"6/8/2025, 1:04:33 PM","Admin User"
1580,"East Cobb/Roswell","2022-06-08",2163,0,"",2163,"6/8/2025, 1:04:32 PM","Admin User"
1581,"Sandy Springs","2022-06-08",20,0,"",20,"6/8/2025, 1:04:33 PM","Admin User"
1579,"Decatur","2022-06-08",120,0,"",120,"6/8/2025, 1:04:32 PM","Admin User"
1577,"Dunwoody/PTC","2022-06-08",2404,0,"",2404,"6/8/2025, 1:04:32 PM","Admin User"
1575,"Alpharetta","2022-06-08",1471,0,"",1471,"6/8/2025, 1:04:32 PM","Admin User"
1569,"Buckhead","2022-06-01",434,0,"",434,"6/8/2025, 1:04:32 PM","Admin User"
1572,"East Cobb/Roswell","2022-06-01",1695,0,"",1695,"6/8/2025, 1:04:32 PM","Admin User"
2881,"Peachtree Corners","2022-06-01",433,0,"",433,"6/14/2025, 12:28:12 AM","Admin User"
1568,"Alpharetta","2022-06-01",634,0,"",634,"6/8/2025, 1:04:31 PM","Admin User"
1573,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-06-01",76,0,"",76,"6/8/2025, 1:04:32 PM","Admin User"
1574,"Snellville","2022-06-01",128,0,"",128,"6/8/2025, 1:04:32 PM","Admin User"
1570,"Dunwoody/PTC","2022-06-01",1855,0,"",1855,"6/8/2025, 1:04:32 PM","Admin User"
1550,"Sandy Springs","2022-05-18",256,0,"",256,"6/8/2025, 1:04:30 PM","Admin User"
1548,"Decatur","2022-05-18",77,0,"",77,"6/8/2025, 1:04:30 PM","Admin User"
1544,"Alpharetta","2022-05-18",1457,0,"",1457,"6/8/2025, 1:04:30 PM","Admin User"
1554,"Lenox/Brookhaven","2022-05-18",208,0,"",208,"6/8/2025, 1:04:30 PM","Admin User"
2879,"Peachtree Corners","2022-05-18",165,0,"",165,"6/14/2025, 12:28:12 AM","Admin User"
1555,"Groups","2022-05-18",0,450,"Unnamed Groups: 450",450,"6/8/2025, 1:04:30 PM","Admin User"
1551,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-05-18",118,0,"",118,"6/8/2025, 1:04:30 PM","Admin User"
1552,"Snellville","2022-05-18",121,0,"",121,"6/8/2025, 1:04:30 PM","Admin User"
1549,"East Cobb/Roswell","2022-05-18",1842,0,"",1842,"6/8/2025, 1:04:30 PM","Admin User"
1545,"Buckhead","2022-05-18",500,0,"",500,"6/8/2025, 1:04:30 PM","Admin User"
1546,"Dunwoody/PTC","2022-05-18",2532,0,"",2532,"6/8/2025, 1:04:30 PM","Admin User"
1560,"Decatur","2022-05-15",112,0,"",112,"6/8/2025, 1:04:31 PM","Admin User"
1563,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-05-15",86,0,"",86,"6/8/2025, 1:04:31 PM","Admin User"
1566,"Lenox/Brookhaven","2022-05-15",155,0,"",155,"6/8/2025, 1:04:31 PM","Admin User"
1558,"Dunwoody/PTC","2022-05-15",2415,0,"",2415,"6/8/2025, 1:04:31 PM","Admin User"
1564,"Snellville","2022-05-15",110,0,"",110,"6/8/2025, 1:04:31 PM","Admin User"
1561,"East Cobb/Roswell","2022-05-15",1747,0,"",1747,"6/8/2025, 1:04:31 PM","Admin User"
1567,"Groups","2022-05-15",0,800,"Unnamed Groups: 800",800,"6/8/2025, 1:04:31 PM","Admin User"
2880,"Peachtree Corners","2022-05-15",187,0,"",187,"6/14/2025, 12:28:12 AM","Admin User"
1556,"Alpharetta","2022-05-15",1457,0,"",1457,"6/8/2025, 1:04:31 PM","Admin User"
1557,"Buckhead","2022-05-15",403,0,"",403,"6/8/2025, 1:04:31 PM","Admin User"
1562,"Sandy Springs","2022-05-15",136,0,"",136,"6/8/2025, 1:04:31 PM","Admin User"
1536,"Buckhead","2022-05-11",541,0,"",541,"6/8/2025, 1:04:29 PM","Admin User"
1539,"Decatur","2022-05-11",154,0,"",154,"6/8/2025, 1:04:29 PM","Admin User"
1543,"Snellville","2022-05-11",115,0,"",115,"6/8/2025, 1:04:29 PM","Admin User"
1542,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-05-11",86,0,"",86,"6/8/2025, 1:04:29 PM","Admin User"
3200,"East Cobb/Roswell","2022-05-11",1999,0,"",1999,"7/30/2025, 12:27:39 AM","Katie (Main) Long"
1541,"Sandy Springs","2022-05-11",569,0,"",569,"6/8/2025, 1:04:29 PM","Admin User"
1537,"Dunwoody/PTC","2022-05-11",3729,0,"",3729,"6/8/2025, 1:04:29 PM","Admin User"
1535,"Alpharetta","2022-05-11",1574,0,"",1574,"6/8/2025, 1:04:29 PM","Admin User"
2878,"Peachtree Corners","2022-05-11",699,0,"",699,"6/14/2025, 12:28:12 AM","Admin User"
1524,"Alpharetta","2022-05-04",1030,0,"",1030,"6/8/2025, 1:04:28 PM","Admin User"
1531,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-05-04",62,0,"",62,"6/8/2025, 1:04:29 PM","Admin User"
1528,"Decatur","2022-05-04",195,0,"",195,"6/8/2025, 1:04:28 PM","Admin User"
1532,"Snellville","2022-05-04",140,0,"",140,"6/8/2025, 1:04:29 PM","Admin User"
2877,"Peachtree Corners","2022-05-04",388,0,"",388,"6/14/2025, 12:28:12 AM","Admin User"
1534,"Groups","2022-05-04",0,190,"Unnamed Groups: 190",190,"6/8/2025, 1:04:29 PM","Admin User"
1526,"Dunwoody/PTC","2022-05-04",2707,0,"",2707,"6/8/2025, 1:04:28 PM","Admin User"
3199,"Sandy Springs","2022-05-04",480,0,"",480,"7/30/2025, 12:25:47 AM","Katie (Main) Long"
3198,"East Cobb/Roswell","2022-05-04",1570,0,"",1570,"7/30/2025, 12:23:55 AM","Katie (Main) Long"
1525,"Buckhead","2022-05-04",515,0,"",515,"6/8/2025, 1:04:28 PM","Admin User"
1521,"Snellville","2022-04-27",116,0,"",116,"6/8/2025, 1:04:28 PM","Admin User"
1515,"Dunwoody/PTC","2022-04-27",3034,0,"",3034,"6/8/2025, 1:04:27 PM","Admin User"
1517,"Decatur","2022-04-27",85,0,"",85,"6/8/2025, 1:04:27 PM","Admin User"
1514,"Buckhead","2022-04-27",243,0,"",243,"6/8/2025, 1:04:27 PM","Admin User"
1519,"Sandy Springs","2022-04-27",503,0,"",503,"6/8/2025, 1:04:28 PM","Admin User"
1513,"Alpharetta","2022-04-27",1379,0,"",1379,"6/8/2025, 1:04:27 PM","Admin User"
1523,"Groups","2022-04-27",0,575,"Unnamed Groups: 575",575,"6/8/2025, 1:04:28 PM","Admin User"
2876,"Peachtree Corners","2022-04-27",503,0,"",503,"6/14/2025, 12:28:12 AM","Admin User"
3197,"East Cobb/Roswell","2022-04-27",2817,0,"",2817,"7/30/2025, 12:22:45 AM","Katie (Main) Long"
1520,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-04-27",380,0,"",380,"6/8/2025, 1:04:28 PM","Admin User"
1509,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-04-20",247,0,"",247,"6/8/2025, 1:04:27 PM","Admin User"
2875,"Peachtree Corners","2022-04-20",829,0,"",829,"6/14/2025, 12:28:12 AM","Admin User"
1512,"Groups","2022-04-20",0,1005,"Unnamed Groups: 1005",1005,"6/8/2025, 1:04:27 PM","Admin User"
1508,"Sandy Springs","2022-04-20",352,0,"",352,"6/8/2025, 1:04:27 PM","Admin User"
1504,"Buckhead","2022-04-20",817,0,"",817,"6/8/2025, 1:04:26 PM","Admin User"
1510,"Snellville","2022-04-20",128,0,"",128,"6/8/2025, 1:04:27 PM","Admin User"
1503,"Alpharetta","2022-04-20",2165,0,"",2165,"6/8/2025, 1:04:26 PM","Admin User"
3196,"East Cobb/Roswell","2022-04-20",2760,0,"",2760,"7/30/2025, 12:21:06 AM","Katie (Main) Long"
1505,"Dunwoody/PTC","2022-04-20",3490,0,"",3490,"6/8/2025, 1:04:26 PM","Admin User"
3194,"East Cobb/Roswell","2022-04-13",1892,0,"",1892,"7/30/2025, 12:19:43 AM","Katie (Main) Long"
1493,"Dunwoody/PTC","2022-04-13",2774,0,"",2774,"6/8/2025, 1:04:26 PM","Admin User"
1498,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-04-13",112,0,"",112,"6/8/2025, 1:04:26 PM","Admin User"
3195,"Woodstock","2022-04-13",50,0,"",50,"7/30/2025, 12:20:08 AM","Katie (Main) Long"
1502,"Groups","2022-04-13",0,1580,"Unnamed Groups: 1580",1580,"6/8/2025, 1:04:26 PM","Admin User"
1492,"Buckhead","2022-04-13",282,0,"",282,"6/8/2025, 1:04:25 PM","Admin User"
1497,"Sandy Springs","2022-04-13",325,0,"",325,"6/8/2025, 1:04:26 PM","Admin User"
2874,"Peachtree Corners","2022-04-13",211,0,"",211,"6/14/2025, 12:28:12 AM","Admin User"
1491,"Alpharetta","2022-04-13",1134,0,"",1134,"6/8/2025, 1:04:25 PM","Admin User"
1495,"Decatur","2022-04-13",21,0,"",21,"6/8/2025, 1:04:26 PM","Admin User"
1499,"Snellville","2022-04-13",105,0,"",105,"6/8/2025, 1:04:26 PM","Admin User"
3192,"East Cobb/Roswell","2022-04-06",2156,0,"",2156,"7/30/2025, 12:18:12 AM","Katie (Main) Long"
1478,"Snellville","2022-04-06",125,0,"",125,"6/8/2025, 1:04:24 PM","Admin User"
1484,"Dunwoody/PTC","2022-04-06",2267,0,"",2267,"6/8/2025, 1:04:25 PM","Admin User"
2873,"Peachtree Corners","2022-04-06",496,0,"",496,"6/14/2025, 12:28:12 AM","Admin User"
3193,"Woodstock","2022-04-06",39,0,"",39,"7/30/2025, 12:18:31 AM","Katie (Main) Long"
1487,"Sandy Springs","2022-04-06",259,0,"",259,"6/8/2025, 1:04:25 PM","Admin User"
1488,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-04-06",275,0,"",275,"6/8/2025, 1:04:25 PM","Admin User"
1482,"Alpharetta","2022-04-06",867,0,"",867,"6/8/2025, 1:04:25 PM","Admin User"
1483,"Buckhead","2022-04-06",125,0,"",125,"6/8/2025, 1:04:25 PM","Admin User"
1477,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-03-30",237,0,"",237,"6/8/2025, 1:04:24 PM","Admin User"
1476,"Sandy Springs","2022-03-30",529,0,"",529,"6/8/2025, 1:04:24 PM","Admin User"
2872,"Peachtree Corners","2022-03-30",432,0,"",432,"6/14/2025, 12:28:12 AM","Admin User"
1481,"Groups","2022-03-30",0,180,"Unnamed Groups: 180",180,"6/8/2025, 1:04:25 PM","Admin User"
1489,"Snellville","2022-03-30",125,0,"",125,"6/8/2025, 1:04:25 PM","Admin User"
1471,"Oak Grove","2022-03-30",145,0,"",145,"6/8/2025, 1:04:24 PM","Admin User"
1469,"Alpharetta","2022-03-30",1699,0,"",1699,"6/8/2025, 1:04:24 PM","Admin User"
3190,"East Cobb/Roswell","2022-03-30",1911,0,"",1911,"7/30/2025, 12:16:43 AM","Katie (Main) Long"
1472,"Dunwoody/PTC","2022-03-30",2068,0,"",2068,"6/8/2025, 1:04:24 PM","Admin User"
3191,"Woodstock","2022-03-30",131,0,"",131,"7/30/2025, 12:17:09 AM","Katie (Main) Long"
1470,"Buckhead","2022-03-30",616,0,"",616,"6/8/2025, 1:04:24 PM","Admin User"
1474,"Decatur","2022-03-30",107,0,"",107,"6/8/2025, 1:04:24 PM","Admin User"
1458,"Alpharetta","2022-03-23",2291,0,"",2291,"6/8/2025, 1:04:23 PM","Admin User"
1460,"Oak Grove","2022-03-23",61,0,"",61,"6/8/2025, 1:04:23 PM","Admin User"
1468,"Groups","2022-03-23",0,1837,"Unnamed Groups: 1837",1837,"6/8/2025, 1:04:24 PM","Admin User"
2871,"Peachtree Corners","2022-03-23",432,0,"",432,"6/14/2025, 12:28:12 AM","Admin User"
1464,"Sandy Springs","2022-03-23",253,0,"",253,"6/8/2025, 1:04:23 PM","Admin User"
3189,"East Cobb/Roswell","2022-03-23",1240,0,"",1240,"7/30/2025, 12:15:10 AM","Katie (Main) Long"
1465,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-03-23",90,0,"",90,"6/8/2025, 1:04:23 PM","Admin User"
1459,"Buckhead","2022-03-23",516,0,"",516,"6/8/2025, 1:04:23 PM","Admin User"
1461,"Dunwoody/PTC","2022-03-23",3471,0,"",3471,"6/8/2025, 1:04:23 PM","Admin User"
1455,"Snellville","2022-03-23",150,0,"",150,"6/8/2025, 1:04:23 PM","Admin User"
2870,"Peachtree Corners","2022-03-16",230,0,"",230,"6/14/2025, 12:28:12 AM","Admin User"
1449,"Oak Grove","2022-03-16",110,0,"",110,"6/8/2025, 1:04:22 PM","Admin User"
1448,"Buckhead","2022-03-16",638,0,"",638,"6/8/2025, 1:04:22 PM","Admin User"
1457,"Groups","2022-03-16",0,160,"Unnamed Groups: 160",160,"6/8/2025, 1:04:23 PM","Admin User"
1453,"Sandy Springs","2022-03-16",330,0,"",330,"6/8/2025, 1:04:22 PM","Admin User"
3188,"East Cobb/Roswell","2022-03-16",1330,0,"",1330,"7/30/2025, 12:14:15 AM","Katie (Main) Long"
1450,"Dunwoody/PTC","2022-03-16",1927,0,"",1927,"6/8/2025, 1:04:22 PM","Admin User"
1447,"Alpharetta","2022-03-16",2291,0,"",2291,"6/8/2025, 1:04:22 PM","Admin User"
1466,"Snellville","2022-03-16",150,0,"",150,"6/8/2025, 1:04:23 PM","Admin User"
1454,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-03-16",235,0,"",235,"6/8/2025, 1:04:22 PM","Admin User"
1440,"Oak Grove","2022-03-09",287,0,"",287,"6/8/2025, 1:04:21 PM","Admin User"
2869,"Peachtree Corners","2022-03-09",773,0,"",773,"6/14/2025, 12:28:12 AM","Admin User"
3187,"Snellville","2022-03-09",80,0,"",80,"7/30/2025, 12:11:01 AM","Katie (Main) Long"
1445,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-03-09",102,0,"",102,"6/8/2025, 1:04:22 PM","Admin User"
1439,"Buckhead","2022-03-09",486,0,"",486,"6/8/2025, 1:04:21 PM","Admin User"
1438,"Alpharetta","2022-03-09",1054,0,"",1054,"6/8/2025, 1:04:21 PM","Admin User"
1444,"Sandy Springs","2022-03-09",443,0,"",443,"6/8/2025, 1:04:22 PM","Admin User"
1441,"Dunwoody/PTC","2022-03-09",2844,0,"",2844,"6/8/2025, 1:04:22 PM","Admin User"
3186,"East Cobb/Roswell","2022-03-09",1877,0,"",1877,"7/30/2025, 12:10:40 AM","Katie (Main) Long"
1429,"Alpharetta","2022-03-02",1569,0,"",1569,"6/8/2025, 1:04:20 PM","Admin User"
1432,"Dunwoody/PTC","2022-03-02",3121,0,"",3121,"6/8/2025, 1:04:21 PM","Admin User"
1437,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-03-02",368,0,"",368,"6/8/2025, 1:04:21 PM","Admin User"
1431,"Oak Grove","2022-03-02",391,0,"",391,"6/8/2025, 1:04:21 PM","Admin User"
1434,"Decatur","2022-03-02",68,0,"",68,"6/8/2025, 1:04:21 PM","Admin User"
1430,"Buckhead","2022-03-02",1326,0,"",1326,"6/8/2025, 1:04:21 PM","Admin User"
3185,"East Cobb/Roswell","2022-03-02",1809,0,"",1809,"7/30/2025, 12:09:28 AM","Katie (Main) Long"
1436,"Sandy Springs","2022-03-02",364,0,"",364,"6/8/2025, 1:04:21 PM","Admin User"
2868,"Peachtree Corners","2022-03-02",249,0,"",249,"6/14/2025, 12:28:12 AM","Admin User"
1428,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-02-23",304,0,"",304,"6/8/2025, 1:04:20 PM","Admin User"
1423,"Oak Grove","2022-02-23",200,0,"",200,"6/8/2025, 1:04:20 PM","Admin User"
2867,"Peachtree Corners","2022-02-23",551,0,"",551,"6/14/2025, 12:28:12 AM","Admin User"
1427,"Sandy Springs","2022-02-23",442,0,"",442,"6/8/2025, 1:04:20 PM","Admin User"
1422,"Buckhead","2022-02-23",422,0,"",422,"6/8/2025, 1:04:20 PM","Admin User"
1424,"Dunwoody/PTC","2022-02-23",3564,0,"",3564,"6/8/2025, 1:04:20 PM","Admin User"
1425,"East Cobb/Roswell","2022-02-23",1803,0,"",1803,"6/8/2025, 1:04:20 PM","Admin User"
1421,"Alpharetta","2022-02-23",1190,0,"",1190,"6/8/2025, 1:04:20 PM","Admin User"
3184,"Groups","2022-02-17",0,5418,"Groups: 5418",5418,"7/30/2025, 12:06:48 AM","Katie (Main) Long"
2866,"Peachtree Corners","2022-02-16",462,0,"",462,"6/14/2025, 12:28:12 AM","Admin User"
1419,"Sandy Springs","2022-02-16",486,0,"",486,"6/8/2025, 1:04:20 PM","Admin User"
1415,"Dunwoody/PTC","2022-02-16",4550,0,"",4550,"6/8/2025, 1:04:19 PM","Admin User"
1420,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-02-16",224,0,"",224,"6/8/2025, 1:04:20 PM","Admin User"
1413,"Alpharetta","2022-02-16",1801,0,"",1801,"6/8/2025, 1:04:19 PM","Admin User"
1417,"Decatur","2022-02-16",165,0,"",165,"6/8/2025, 1:04:20 PM","Admin User"
1414,"Buckhead","2022-02-16",276,0,"",276,"6/8/2025, 1:04:19 PM","Admin User"
1416,"East Cobb/Roswell","2022-02-16",2311,0,"",2311,"6/8/2025, 1:04:19 PM","Admin User"
1409,"Decatur","2022-02-09",84,0,"",84,"6/8/2025, 1:04:19 PM","Admin User"
1406,"Oak Grove","2022-02-09",100,0,"",100,"6/8/2025, 1:04:19 PM","Admin User"
1408,"East Cobb/Roswell","2022-02-09",1861,0,"",1861,"6/8/2025, 1:04:19 PM","Admin User"
2865,"Peachtree Corners","2022-02-09",344,0,"",344,"6/14/2025, 12:28:12 AM","Admin User"
1411,"Sandy Springs","2022-02-09",401,0,"",401,"6/8/2025, 1:04:19 PM","Admin User"
1404,"Alpharetta","2022-02-09",2236,0,"",2236,"6/8/2025, 1:04:18 PM","Admin User"
1405,"Buckhead","2022-02-09",335,0,"",335,"6/8/2025, 1:04:19 PM","Admin User"
1407,"Dunwoody/PTC","2022-02-09",2341,0,"",2341,"6/8/2025, 1:04:19 PM","Admin User"
1412,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-02-09",130,0,"",130,"6/8/2025, 1:04:19 PM","Admin User"
1402,"Sandy Springs","2022-02-02",120,0,"",120,"6/8/2025, 1:04:18 PM","Admin User"
1396,"Buckhead","2022-02-02",530,0,"",530,"6/8/2025, 1:04:18 PM","Admin User"
1400,"Decatur","2022-02-02",39,0,"",39,"6/8/2025, 1:04:18 PM","Admin User"
1397,"Oak Grove","2022-02-02",239,0,"",239,"6/8/2025, 1:04:18 PM","Admin User"
2864,"Peachtree Corners","2022-02-02",252,0,"",252,"6/14/2025, 12:28:12 AM","Admin User"
1403,"Intown/Druid Hills/Oak Grove/Chamblee/Brookhaven/Buckhead","2022-02-02",185,0,"",185,"6/8/2025, 1:04:18 PM","Admin User"
1395,"Alpharetta","2022-02-02",974,0,"",974,"6/8/2025, 1:04:18 PM","Admin User"
1399,"East Cobb/Roswell","2022-02-02",2011,0,"",2011,"6/8/2025, 1:04:18 PM","Admin User"
1398,"Dunwoody/PTC","2022-02-02",2478,0,"",2478,"6/8/2025, 1:04:18 PM","Admin User"
1394,"Sandy Springs","2022-01-26",755,0,"",755,"6/8/2025, 1:04:18 PM","Admin User"
1390,"Dunwoody/PTC","2022-01-26",3975,0,"",3975,"6/8/2025, 1:04:17 PM","Admin User"
1392,"Decatur","2022-01-26",28,0,"",28,"6/8/2025, 1:04:18 PM","Admin User"
2863,"Peachtree Corners","2022-01-26",282,0,"",282,"6/14/2025, 12:28:12 AM","Admin User"
1391,"East Cobb/Roswell","2022-01-26",2210,0,"",2210,"6/8/2025, 1:04:17 PM","Admin User"
1389,"Alpharetta","2022-01-26",842,0,"",842,"6/8/2025, 1:04:17 PM","Admin User"
1386,"Decatur","2022-01-19",566,0,"",566,"6/8/2025, 1:04:17 PM","Admin User"
1388,"Sandy Springs","2022-01-19",162,0,"",162,"6/8/2025, 1:04:17 PM","Admin User"
1382,"Alpharetta","2022-01-19",649,0,"",649,"6/8/2025, 1:04:17 PM","Admin User"
1384,"Dunwoody/PTC","2022-01-19",2412,0,"",2412,"6/8/2025, 1:04:17 PM","Admin User"
1385,"East Cobb/Roswell","2022-01-19",4109,0,"",4109,"6/8/2025, 1:04:17 PM","Admin User"
1383,"Buckhead","2022-01-19",263,0,"",263,"6/8/2025, 1:04:17 PM","Admin User"
3183,"Peachtree Corners","2022-01-19",351,0,"",351,"7/29/2025, 11:27:13 PM","Katie (Main) Long"
1381,"Sandy Springs","2022-01-17",513,0,"",513,"6/8/2025, 1:04:17 PM","Admin User"
1378,"Buckhead","2022-01-17",225,0,"",225,"6/8/2025, 1:04:16 PM","Admin User"
1380,"East Cobb/Roswell","2022-01-17",879,0,"",879,"6/8/2025, 1:04:17 PM","Admin User"
1379,"Dunwoody/PTC","2022-01-17",5033,0,"",5033,"6/8/2025, 1:04:17 PM","Admin User"
3178,"East Cobb/Roswell","2022-01-12",2400,0,"",2400,"7/29/2025, 11:21:23 PM","Katie (Main) Long"
3181,"Snellville","2022-01-12",161,0,"",161,"7/29/2025, 11:22:46 PM","Katie (Main) Long"
3179,"Buckhead","2022-01-12",428,0,"",428,"7/29/2025, 11:21:48 PM","Katie (Main) Long"
3180,"Sandy Springs","2022-01-12",253,0,"",253,"7/29/2025, 11:22:23 PM","Katie (Main) Long"
1377,"Alpharetta","2022-01-12",706,0,"",706,"6/8/2025, 1:04:16 PM","Admin User"
3176,"Sandy Springs","2022-01-05",1013,0,"",1013,"7/29/2025, 11:12:54 PM","Katie (Main) Long"
1373,"Dunwoody/PTC","2022-01-05",3293,0,"",3293,"6/8/2025, 1:04:16 PM","Admin User"
2862,"Peachtree Corners","2022-01-05",371,0,"",371,"6/14/2025, 12:28:12 AM","Admin User"
1372,"Alpharetta","2022-01-05",438,0,"",438,"6/8/2025, 1:04:16 PM","Admin User"
1374,"East Cobb/Roswell","2022-01-05",1292,0,"",1292,"6/8/2025, 1:04:16 PM","Admin User"
1369,"Alpharetta","2022-01-03",818,0,"",818,"6/8/2025, 1:04:16 PM","Admin User"
1371,"Snellville","2022-01-03",120,0,"",120,"6/8/2025, 1:04:16 PM","Admin User"
1370,"Decatur","2022-01-03",106,0,"",106,"6/8/2025, 1:04:16 PM","Admin User"
