"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"193","JCC",,,,"2","2023-04-16 00:00:00","2025-10-25 00:11:24.888357","2025-10-25 00:11:24.888357",,,"false",
"194","LDS church youth group",,,,"1","2025-11-11 00:00:00","2025-10-25 00:11:25.083336","2025-10-25 00:20:39.574","church_faith",,"true",
"195","Moore Colson Law",,,,"1","2025-11-14 00:00:00","2025-10-25 00:11:25.279187","2025-10-25 00:11:25.279187",,,"false",
"196","GossRV",,,,"1","2022-04-20 00:00:00","2025-10-25 00:11:25.473709","2025-10-25 00:11:25.473709",,,"false",
"197","St Jude the Apostle Catholic Church (Brazilian Community)",,,,"1","2025-11-09 00:00:00","2025-10-25 00:11:25.677337","2025-10-25 00:20:39.639","church_faith",,"true",
"198","Brookfield Properties",,,,"3","2024-12-03 00:00:00","2025-10-25 00:11:25.874446","2025-10-25 00:11:25.874446",,,"false",
"199","Atlantic Institute",,,,"1","2026-03-01 00:00:00","2025-10-25 00:11:26.068501","2025-10-25 00:20:39.705","school","public","false",
"200","Collective ATL",,,,"1","2024-05-11 00:00:00","2025-10-25 00:11:26.262104","2025-10-25 00:11:26.262104",,,"false",
"201","DCSA",,,,"1","2024-05-30 16:00:00","2025-10-25 00:11:26.457248","2025-10-25 00:11:26.457248",,,"false",
"202","Mocha Moms",,,,"1","2024-08-31 00:00:00","2025-10-25 00:11:26.654794","2025-10-25 00:11:26.654794",,,"false",
"203","Congregation Shearith Israel",,,,"1","2024-01-14 00:00:00","2025-10-25 00:11:26.854352","2025-10-25 00:20:39.77","church_faith",,"true",
"204","PAWS Community Service Committee + Westminster",,,,"1","2026-01-24 00:00:00","2025-10-25 00:11:27.050109","2025-10-25 00:11:27.050109",,,"false",
"205","P.E.O. (Philanthropic Educational Organization)",,,,"1","2026-01-14 00:00:00","2025-10-25 00:11:27.244123","2025-10-25 00:11:27.244123",,,"false",
"206","Church of Jesus Christ of Latter-day Saints",,,,"2","2025-09-18 00:00:00","2025-10-25 00:11:27.470119","2025-10-25 00:20:39.835","church_faith",,"true",
"207","Seyfarth Shaw",,,,"1","2025-09-10 00:00:00","2025-10-25 00:11:27.670958","2025-10-25 00:11:27.670958",,,"false",
"208","Wesleyan Boys Varsity Basketball Team",,,,"1","2025-11-24 00:00:00","2025-10-25 00:11:27.882667","2025-10-25 00:11:27.882667",,,"false",
"209","Prince of Peace Lutheran Church",,,,"3","2025-09-07 12:00:00","2025-10-25 00:11:28.08196","2025-10-25 00:20:39.903","church_faith",,"true",
"210","Garrison Mill Elementary",,,,"1","2023-02-14 00:00:00","2025-10-25 00:11:28.28728","2025-10-25 00:20:39.968","school","public","false",
"211","Marietta High School",,,,"1","2025-10-09 00:00:00","2025-10-25 00:11:28.502173","2025-10-25 00:20:40.033","school","public","false",
"212","UBC Pharmaceuticals",,,,"1","2023-09-08 00:00:00","2025-10-25 00:11:28.696304","2025-10-25 00:11:28.696304",,,"false",
"213","Walton High School",,,,"4","2022-12-11 00:00:00","2025-10-25 00:11:28.898086","2025-10-25 00:20:40.098","school","public","false",
"214","Arke",,,,"1","2023-10-18 00:00:00","2025-10-25 00:11:29.098776","2025-10-25 00:11:29.098776",,,"false",
"215","CA South LLC",,,,"1","2025-07-31 00:00:00","2025-10-25 00:11:29.298724","2025-10-25 00:20:40.163","large_corp",,"false",
"216","Thrivent/Wheeler NHS",,,,"1","2023-11-14 00:00:00","2025-10-25 00:11:29.493389","2025-10-25 00:11:29.493389",,,"false",
"217","LeapFrog Services",,,,"1","2023-10-29 00:00:00","2025-10-25 00:11:29.687815","2025-10-25 00:20:40.228","small_medium_corp",,"false",
"218","Cumming First UMC",,,,"1","2024-06-20 00:00:00","2025-10-25 00:11:29.883715","2025-10-25 00:11:29.883715",,,"false",
"219","Penske Automotive",,,,"1","2025-10-21 00:00:00","2025-10-25 00:11:30.084279","2025-10-25 00:11:30.084279",,,"false",
"220","Code42",,,,"1","2022-08-03 00:00:00","2025-10-25 00:11:30.279615","2025-10-25 00:11:30.279615",,,"false",
"221","Oxford Lakes Social Committee",,,,"1","2023-12-10 00:00:00","2025-10-25 00:11:30.473299","2025-10-25 00:11:30.473299",,,"false",
"222","Ismaili CIVIC",,,,"2","2024-12-21 00:00:00","2025-10-25 00:11:30.666343","2025-10-25 00:11:30.666343",,,"false",
"223","Hillel",,,,"1","2023-11-07 00:00:00","2025-10-25 00:11:30.860927","2025-10-25 00:11:30.860927",,,"false",
"224","Girl Scout Troop",,,,"3","2025-10-18 00:00:00","2025-10-25 00:11:31.055021","2025-10-25 00:11:31.055021",,,"false",
"225","NCJW",,,,"8","2025-10-08 00:00:00","2025-10-25 00:11:31.253046","2025-10-25 00:11:31.253046",,,"false",
"226","The Swift School",,,,"2","2025-10-01 12:00:00","2025-10-25 00:11:31.447416","2025-10-25 00:11:31.447416",,,"false",
"227","Peachtree Corners Football Club",,,,"1","2024-10-19 00:00:00","2025-10-25 00:11:31.640659","2025-10-25 00:20:40.293","club",,"false",
"228","IHG",,,,"2","2025-09-18 00:00:00","2025-10-25 00:11:31.838591","2025-10-25 00:11:31.838591",,,"false",
"229","Anvil Academy",,,,"2","2023-11-15 00:00:00","2025-10-25 00:11:32.037526","2025-10-25 00:20:40.359","school","public","false",
"230","Exhibitus (Beyond Us)",,,,"1","2023-12-06 00:00:00","2025-10-25 00:11:32.236974","2025-10-25 00:11:32.236974",,,"false",
"231","Atlanta Bar Association",,,,"1","2024-11-10 00:00:00","2025-10-25 00:11:32.433592","2025-10-25 00:11:32.433592",,,"false",
"232","Creekside Church Trailblazers",,,,"1","2024-11-10 00:00:00","2025-10-25 00:11:32.627354","2025-10-25 00:20:40.424","church_faith",,"true",
"233","Allied World Assurance Company",,,,"2","2025-09-23 00:00:00","2025-10-25 00:11:32.851533","2025-10-25 00:20:40.489","large_corp",,"false",
"234","Church",,,,"1","2025-11-05 00:00:00","2025-10-25 00:11:33.047611","2025-10-25 00:20:40.553","church_faith",,"true",
"235","Girl Scouts 25142",,,,"1","2025-09-14 00:00:00","2025-10-25 00:11:33.241571","2025-10-25 00:20:40.618","club",,"false",
"236","Judy Toensmeier's group",,,,"1","2025-01-20 00:00:00","2025-10-25 00:11:33.436918","2025-10-25 00:20:40.684","large_corp",,"false",
"237","Latter Day Saints",,,,"1","2022-09-17 00:00:00","2025-10-25 00:11:33.634625","2025-10-25 00:11:33.634625",,,"false",
"238","Olin",,,,"1","2024-02-28 00:00:00","2025-10-25 00:11:33.829409","2025-10-25 00:11:33.829409",,,"false",
"239","Fish & Richardson",,,,"1","2024-02-19 00:00:00","2025-10-25 00:11:34.027778","2025-10-25 00:11:34.027778",,,"false",
"240","US Foods",,,,"1","2022-10-05 00:00:00","2025-10-25 00:11:34.222767","2025-10-25 00:11:34.222767",,,"false",
"241","Children's Hospital Egleston",,,,"1","2023-06-26 00:00:00","2025-10-25 00:11:34.417094","2025-10-25 00:11:34.417094",,,"false",
"242","World Insurance Association",,,,"2","2025-11-18 00:00:00","2025-10-25 00:11:34.611619","2025-10-25 00:11:34.611619",,,"false",
"243","UNCG",,,,"1",,"2025-10-25 00:11:34.806656","2025-10-25 00:11:34.806656",,,"false",
"244","Cornerstone Christian Academy",,,,"1","2024-10-28 00:00:00","2025-10-25 00:11:35.000723","2025-10-25 00:20:40.75","school","public","true",
"245","PJ Library",,,,"1","2025-01-12 00:00:00","2025-10-25 00:11:35.195152","2025-10-25 00:11:35.195152",,,"false",
"246","AXIS Insurance",,,,"1","2024-03-19 00:00:00","2025-10-25 00:11:35.389141","2025-10-25 00:11:35.389141",,,"false",
"247","Logic Speak",,,,"4","2025-09-26 00:00:00","2025-10-25 00:11:35.584051","2025-10-25 00:11:35.584051",,,"false",
"248","Alpha Delta Kappa",,,,"2","2024-06-03 00:00:00","2025-10-25 00:11:35.778806","2025-10-25 00:11:35.778806",,,"false",
"249","Alston & Bird",,,,"2","2024-01-16 17:00:00","2025-10-25 00:11:35.985094","2025-10-25 00:11:35.985094",,,"false",
"250","Somerby Sandy Springs",,,,"1","2023-01-16 00:00:00","2025-10-25 00:11:36.245231","2025-10-25 00:11:36.245231",,,"false",
"251","Hightower Trail Middle School",,,,"1","2023-04-19 00:00:00","2025-10-25 00:11:36.438543","2025-10-25 00:20:40.819","school","public","false",
"252","MOMS Club East Marietta",,,,"1","2022-11-08 00:00:00","2025-10-25 00:11:36.633233","2025-10-25 00:20:40.885","club",,"false",
"253","Village Oaks Subdivision",,,,"1","2025-10-15 00:00:00","2025-10-25 00:11:36.834456","2025-10-25 00:11:36.834456",,,"false",
"254","South Asian Working Moms (SAWM)",,,,"1","2024-04-14 00:00:00","2025-10-25 00:11:37.030464","2025-10-25 00:11:37.030464",,,"false",
"255","Equifax",,,,"1","2024-10-22 00:00:00","2025-10-25 00:11:37.226954","2025-10-25 00:11:37.226954",,,"false",
"256","Acton Academy Marietta",,,,"1","2022-12-14 00:00:00","2025-10-25 00:11:37.433226","2025-10-25 00:20:40.95","school","public","false",
"257","Holy Innocents",,,,"1","2022-12-08 00:00:00","2025-10-25 00:11:37.627683","2025-10-25 00:11:37.627683",,,"false",
"258","Blessed Trinity",,,,"3","2025-03-28 00:00:00","2025-10-25 00:11:37.821293","2025-10-25 00:11:37.821293",,,"false",
"259","Augusta University ",,,,"1","2025-11-08 00:00:00","2025-10-25 00:11:38.01846","2025-10-25 00:20:41.017","school","public","false",
"260","Test Request",,,,"1","2026-01-01 00:00:00","2025-10-25 00:11:38.228585","2025-10-25 00:11:38.228585",,,"false",
"261","St. Joseph Catholic School",,,,"1","2025-03-19 00:00:00","2025-10-25 00:11:38.473492","2025-10-25 00:20:41.082","school","private","true",
"262","Self-Help Credit Union",,,,"1","2025-01-16 00:00:00","2025-10-25 00:11:38.673692","2025-10-25 00:11:38.673692",,,"false",
"263","Crye-Leike Realtors",,,,"1","2023-04-19 00:00:00","2025-10-25 00:11:38.870026","2025-10-25 00:11:38.870026",,,"false",
"264","Marietta Roswell Alumnae Chapter of Delta Sigma Theta Sorority, Inc",,,,"1","2026-03-14 00:00:00","2025-10-25 00:11:39.066863","2025-10-25 00:20:41.147","large_corp",,"false",
"265","Midtown International School",,,,"1","2024-01-17 00:00:00","2025-10-25 00:11:39.261669","2025-10-25 00:20:41.212","large_corp",,"false",
"266","Samsara",,,,"1","2024-09-18 00:00:00","2025-10-25 00:11:39.455519","2025-10-25 00:11:39.455519",,,"false",
"267","Regency Centers",,,,"1","2024-10-29 00:00:00","2025-10-25 00:11:39.713364","2025-10-25 00:11:39.713364",,,"false",
"268","Girls Group",,,,"1","2024-12-22 00:00:00","2025-10-25 00:11:39.907498","2025-10-25 00:20:41.277","large_corp",,"false",
"269","Red Clay Consulting",,,,"1","2022-06-24 00:00:00","2025-10-25 00:11:40.101664","2025-10-25 00:20:41.342","small_medium_corp",,"false",
"270","GA Pacific",,,,"9","2025-03-27 00:00:00","2025-10-25 00:11:40.29488","2025-10-25 00:11:40.29488",,,"false",
"271","Fisher Phillips LLP",,,,"1","2024-09-25 00:00:00","2025-10-25 00:11:40.488653","2025-10-25 00:11:40.488653",,,"false",
"272","Young Hearts Service League",,,,"1","2023-08-24 00:00:00","2025-10-25 00:11:40.682555","2025-10-25 00:11:40.682555",,,"false",
"273","Duluth High School",,,,"2","2023-02-08 00:00:00","2025-10-25 00:11:40.876804","2025-10-25 00:20:41.41","school","public","false",
"274","PJ Library + Mahjong event",,,,"1","2025-08-20 16:00:00","2025-10-25 00:11:41.070585","2025-10-25 00:11:41.070585",,,"false",
"275","St. Andrew Catholic Church",,,,"1","2025-03-11 00:00:00","2025-10-25 00:11:41.26432","2025-10-25 00:20:41.475","church_faith",,"true",
"276","Wesleyan School",,,,"4","2025-10-22 00:00:00","2025-10-25 00:11:41.457402","2025-10-25 00:11:41.457402",,,"false",
"277","Laura's MLK event (with Jack and Jill)",,,,"1","2023-01-16 00:00:00","2025-10-25 00:11:41.660158","2025-10-25 00:11:41.660158",,,"false",
"278","JP Morgan",,,,"1","2023-12-13 00:00:00","2025-10-25 00:11:41.854108","2025-10-25 00:11:41.854108",,,"false",
"279","Johns Creek Emory Hospital",,,,"1","2023-06-21 00:00:00","2025-10-25 00:11:42.047638","2025-10-25 00:11:42.047638",,,"false",
"280","The Church of Jesus Christ of Latter Day Saints",,,,"1","2025-02-08 00:00:00","2025-10-25 00:11:42.241414","2025-10-25 00:20:41.54","church_faith",,"true",
"281","Interfaith Atlanta & Interfaith Community",,,,"1","2023-05-23 00:00:00","2025-10-25 00:11:42.43673","2025-10-25 00:11:42.43673",,,"false",
"282","Mercedes-Benz",,,,"1","2023-11-28 00:00:00","2025-10-25 00:11:42.630067","2025-10-25 00:11:42.630067",,,"false",
"283","Choice Hotels",,,,"1","2023-06-07 00:00:00","2025-10-25 00:11:42.822828","2025-10-25 00:11:42.822828",,,"false",
"284","Epstein School",,,,"1","2023-05-05 00:00:00","2025-10-25 00:11:43.018053","2025-10-25 00:11:43.018053",,,"false",
"285","Jack & Jill",,,,"2","2025-10-25 00:00:00","2025-10-25 00:11:43.211987","2025-10-25 00:11:43.211987",,,"false",
"286","Eagle Telemedicine",,,,"1","2023-04-26 00:00:00","2025-10-25 00:11:43.406564","2025-10-25 00:11:43.406564",,,"false",
"287","Dalton Agency",,,,"1","2022-06-22 00:00:00","2025-10-25 00:11:43.599796","2025-10-25 00:11:43.599796",,,"false",
"288","community event",,,,"1","2025-11-30 00:00:00","2025-10-25 00:11:43.793096","2025-10-25 00:11:43.793096",,,"false",
"289","Bet Haverim",,,,"1","2024-01-15 00:00:00","2025-10-25 00:11:43.987245","2025-10-25 00:11:43.987245",,,"false",
"290","Notre Dame Club of Atlanta",,,,"1","2024-04-27 00:00:00","2025-10-25 00:11:44.183637","2025-10-25 00:20:41.605","club",,"false",
"291","Southern Environmental Law Center",,,,"2","2025-01-20 00:00:00","2025-10-25 00:11:44.377482","2025-10-25 00:11:44.377482",,,"false",
"292","CATS",,,,"1","2025-11-04 00:00:00","2025-10-25 00:11:44.57134","2025-10-25 00:11:44.57134",,,"false",
"293","Emory St Joseph's",,,,"2","2023-11-17 00:00:00","2025-10-25 00:11:44.765081","2025-10-25 00:11:44.765081",,,"false",
"294","Frazier & Deeter",,,,"1","2024-07-11 00:00:00","2025-10-25 00:11:44.991117","2025-10-25 00:11:44.991117",,,"false",
"295","Mt. Zion United Methodist Church",,,,"2","2022-10-23 00:00:00","2025-10-25 00:11:45.187985","2025-10-25 00:20:41.669","church_faith",,"true",
"296","Greater Atlanta Christian School",,,,"3","2025-10-06 00:00:00","2025-10-25 00:11:45.381205","2025-10-25 00:20:41.735","school","private","true",
"297","City Church Alpharetta",,,,"1","2025-07-23 00:00:00","2025-10-25 00:11:45.577073","2025-10-25 00:20:41.799","church_faith",,"true",
"298","WAVE - Worthington Armstrong Venture",,,,"1","2024-05-10 16:00:00","2025-10-25 00:11:45.770667","2025-10-25 00:11:45.770667",,,"false",
"299","Kingswood Church",,,,"1","2025-11-09 00:00:00","2025-10-25 00:11:45.964444","2025-10-25 00:20:41.864","church_faith",,"true",
"300","The Wilbert Group",,,,"1","2024-09-09 00:00:00","2025-10-25 00:11:46.158636","2025-10-25 00:20:41.929","large_corp",,"false",
"301","Media Now Interactive",,,,"1","2024-12-06 00:00:00","2025-10-25 00:11:46.352408","2025-10-25 00:11:46.352408",,,"false",
"302","Microsoft",,,,"2","2024-04-18 00:00:00","2025-10-25 00:11:46.546689","2025-10-25 00:11:46.546689",,,"false",
"303","German Honor Society Gwinnett School of Mathematics, Science, and Technology",,,,"1","2025-03-12 00:00:00","2025-10-25 00:11:46.742904","2025-10-25 00:11:46.742904",,,"false",
"304","LDS",,,,"2","2024-09-22 16:00:00","2025-10-25 00:11:46.936968","2025-10-25 00:11:46.936968",,,"false",
"305","Girl Scout Troop 23022",,,,"1","2025-11-09 00:00:00","2025-10-25 00:11:47.130837","2025-10-25 00:11:47.130837",,,"false",
"306","Cooper Lake Place",,,,"1","2025-08-02 00:00:00","2025-10-25 00:11:47.324928","2025-10-25 00:11:47.324928",,,"false",
"307","Kehillet Chaim",,,,"1","2022-12-04 00:00:00","2025-10-25 00:11:47.518216","2025-10-25 00:11:47.518216",,,"false",
"308","AJC",,,,"1","2024-10-30 00:00:00","2025-10-25 00:11:47.712086","2025-10-25 00:11:47.712086",,,"false",
"309","The Links (GA Links Day)",,,,"1","2025-03-09 00:00:00","2025-10-25 00:11:47.906841","2025-10-25 00:11:47.906841",,,"false",
"310","Northside Hospital",,,,"1","2024-12-10 00:00:00","2025-10-25 00:11:48.105281","2025-10-25 00:11:48.105281",,,"false",
"311","Intradiem",,,,"1","2024-06-12 00:00:00","2025-10-25 00:11:48.300165","2025-10-25 00:11:48.300165",,,"false",
"312","DXC Technology",,,,"1","2022-09-07 00:00:00","2025-10-25 00:11:48.495082","2025-10-25 00:11:48.495082",,,"false",
"313","Mountainseed",,,,"1","2024-01-10 00:00:00","2025-10-25 00:11:48.68833","2025-10-25 00:11:48.68833",,,"false",
"314","Interfaith Atlanta",,,,"1","2023-03-22 00:00:00","2025-10-25 00:11:48.885876","2025-10-25 00:11:48.885876",,,"false",
"315","Academies of Creative Education",,,,"1","2024-09-19 00:00:00","2025-10-25 00:11:49.079572","2025-10-25 00:11:49.079572",,,"false",
"316","WTW",,,,"1","2024-11-20 17:00:00","2025-10-25 00:11:49.272576","2025-10-25 00:11:49.272576",,,"false",
"317","Mountain West Church",,,,"1","2025-03-08 00:00:00","2025-10-25 00:11:49.468219","2025-10-25 00:20:41.994","church_faith",,"true",
"318","Weber School",,,,"4","2025-10-01 00:00:00","2025-10-25 00:11:49.662345","2025-10-25 00:11:49.662345",,,"false",
"319","Randstadt",,,,"1","2023-04-05 00:00:00","2025-10-25 00:11:49.85807","2025-10-25 00:11:49.85807",,,"false",
"320","Vanco",,,,"1","2023-04-19 00:00:00","2025-10-25 00:11:50.05315","2025-10-25 00:11:50.05315",,,"false",
"321","Cancer Support Center",,,,"1","2025-03-13 00:00:00","2025-10-25 00:11:50.247473","2025-10-25 00:11:50.247473",,,"false",
"322","Delta Sigma Theta Sorority",,,,"3","2024-03-19 00:00:00","2025-10-25 00:11:50.441548","2025-10-25 00:11:50.441548",,,"false",
"323","Lions Club/Elevance Health HQ",,,,"1","2022-10-05 00:00:00","2025-10-25 00:11:50.637705","2025-10-25 00:20:42.083","club",,"false",
"324","Tuxedo Estates Homeowners Association",,,,"1","2024-07-20 00:00:00","2025-10-25 00:11:50.830807","2025-10-25 00:20:42.155","neighborhood",,"false",
"325","The Sandy Springs Christian Church",,,,"1","2022-10-23 00:00:00","2025-10-25 00:11:51.024821","2025-10-25 00:20:42.22","church_faith",,"true",
"326","Helen Bawak Leap of Faith Foundation",,,,"1","2025-01-05 00:00:00","2025-10-25 00:11:51.218763","2025-10-25 00:20:42.285","church_faith",,"true",
"327","Young Hearts Service Group",,,,"1","2022-08-09 00:00:00","2025-10-25 00:11:51.439264","2025-10-25 00:20:42.35","large_corp",,"false",
"328","Georgia Health Policy Center",,,,"1","2023-10-20 00:00:00","2025-10-25 00:11:51.633231","2025-10-25 00:11:51.633231",,,"false",
"329","William & Reed Academy",,,,"2","2025-02-12 17:00:00","2025-10-25 00:11:51.826867","2025-10-25 00:20:42.416","school","public","false",
"330","Paideia",,,,"2","2023-11-17 00:00:00","2025-10-25 00:11:52.020434","2025-10-25 00:11:52.020434",,,"false",
"331","Luckie",,,,"1","2023-05-10 00:00:00","2025-10-25 00:11:52.214891","2025-10-25 00:11:52.214891",,,"false",
"332","Allison PR",,,,"1","2022-08-23 00:00:00","2025-10-25 00:11:52.409036","2025-10-25 00:11:52.409036",,,"false",
"333","Mercedes Benz",,,,"3","2022-11-19 00:00:00","2025-10-25 00:11:52.60432","2025-10-25 00:11:52.60432",,,"false",
"334","Altrusa International of North Georgia",,,,"1","2025-10-24 00:00:00","2025-10-25 00:11:52.798363","2025-10-25 00:20:42.483","large_corp",,"false",
"335","Greek Orthodox Cathedral of the Annunciation",,,,"1","2024-11-30 00:00:00","2025-10-25 00:11:52.991729","2025-10-25 00:20:42.556","church_faith",,"true",
"336","Google",,,,"1","2024-03-18 00:00:00","2025-10-25 00:11:53.186276","2025-10-25 00:11:53.186276",,,"false",
"337","FCS Innovation Academy",,,,"1","2025-09-25 00:00:00","2025-10-25 00:11:53.382243","2025-10-25 00:20:42.625","school","public","false",
"338","Deposco",,,,"1","2023-03-08 00:00:00","2025-10-25 00:11:53.576531","2025-10-25 00:11:53.576531",,,"false",
"339","Balch & Bingham LLP",,,,"1","2024-01-09 17:00:00","2025-10-25 00:11:53.771855","2025-10-25 00:11:53.771855",,,"false",
"340","Milton Girl Scout Troup",,,,"1","2023-03-01 00:00:00","2025-10-25 00:11:53.965365","2025-10-25 00:11:53.965365",,,"false",
"341","St. James Alpharetta",,,,"1","2023-11-21 00:00:00","2025-10-25 00:11:54.173895","2025-10-25 00:11:54.173895",,,"false",
"342","Temple Sinai",,,,"2","2025-11-02 00:00:00","2025-10-25 00:11:54.368223","2025-10-25 00:20:42.691","church_faith",,"true",
"343","North Springs High School",,,,"2","2022-11-08 00:00:00","2025-10-25 00:11:54.562566","2025-10-25 00:20:42.755","school","public","false",
"344","Lutheran Church of the Resurrection",,,,"1","2023-03-22 00:00:00","2025-10-25 00:11:54.758186","2025-10-25 00:20:42.82","church_faith",,"true",
"345","Key Club at Parkview",,,,"1","2025-09-24 00:00:00","2025-10-25 00:11:54.954853","2025-10-25 00:20:42.885","club",,"false",
"346","Ernst and Young",,,,"1","2023-01-18 00:00:00","2025-10-25 00:11:55.152264","2025-10-25 00:11:55.152264",,,"false",
"347","CISV Atlanta",,,,"1","2025-10-12 00:00:00","2025-10-25 00:11:55.34614","2025-10-25 00:11:55.34614",,,"false",
"348","Omega Phi Alpha at Kennesaw State University",,,,"2","2025-10-13 00:00:00","2025-10-25 00:11:55.539267","2025-10-25 00:20:42.95","school","public","false",
"349","Jackson Healthcare",,,,"3","2024-07-30 00:00:00","2025-10-25 00:11:55.733026","2025-10-25 00:11:55.733026",,,"false",
"350","Allstate/Pebble Tossers",,,,"1","2025-07-25 16:00:00","2025-10-25 00:11:55.929296","2025-10-25 00:11:55.929296",,,"false",
"351","Jackson & Coker",,,,"4","2025-07-16 16:00:00","2025-10-25 00:11:56.124259","2025-10-25 00:11:56.124259",,,"false",
"352","Birch Trail Camp",,,,"1","2024-04-14 00:00:00","2025-10-25 00:11:56.319672","2025-10-25 00:11:56.319672",,,"false",
"353","CRI",,,,"4","2025-08-14 00:00:00","2025-10-25 00:11:56.51577","2025-10-25 00:11:56.51577",,,"false",
"354","Global Leadership Academy-Gwinnett Beta Club",,,,"1","2025-11-04 00:00:00","2025-10-25 00:11:56.710752","2025-10-25 00:20:43.019","school","public","false",
"355","Riverwatch Middle School",,,,"1","2025-01-29 00:00:00","2025-10-25 00:11:56.905055","2025-10-25 00:20:43.085","school","public","false",
"356","Eastside Machine (9 yo baseball team)",,,,"1","2024-07-13 00:00:00","2025-10-25 00:11:57.100449","2025-10-25 00:11:57.100449",,,"false",
"357","Outlaws Baseball",,,,"1","2022-11-06 00:00:00","2025-10-25 00:11:57.294826","2025-10-25 00:11:57.294826",,,"false",
"358","Wheels",,,,"1","2023-06-20 00:00:00","2025-10-25 00:11:57.49338","2025-10-25 00:11:57.49338",,,"false",
"359","Discover Life Church",,,,"2","2024-09-29 00:00:00","2025-10-25 00:11:57.687481","2025-10-25 00:20:43.149","church_faith",,"true",
"360","Jain Society of Greater Atlanta",,,,"1","2024-03-24 00:00:00","2025-10-25 00:11:57.881037","2025-10-25 00:11:57.881037",,,"false",
"361","Slow Food ATL & Emory",,,,"1","2024-01-16 00:00:00","2025-10-25 00:11:58.076779","2025-10-25 00:11:58.076779",,,"false",
"362","Duluth United Methodist Church",,,,"2","2025-02-23 00:00:00","2025-10-25 00:11:58.27021","2025-10-25 00:20:43.214","church_faith",,"true",
"363","St. Joe's Hospital",,,,"1","2022-11-18 00:00:00","2025-10-25 00:11:58.475781","2025-10-25 00:11:58.475781",,,"false",
"364","MCIC Vermont",,,,"2","2025-09-29 00:00:00","2025-10-25 00:11:58.673835","2025-10-25 00:11:58.673835",,,"false",
"365","Galloway School",,,,"2","2025-01-20 00:00:00","2025-10-25 00:11:58.868342","2025-10-25 00:11:58.868342",,,"false",
"366","Faith Lutheran Church",,,,"1","2024-02-04 00:00:00","2025-10-25 00:11:59.062418","2025-10-25 00:20:43.284","church_faith",,"true",
"367","St. Mary's Orthodox Church",,,,"1","2025-09-07 00:00:00","2025-10-25 00:11:59.259443","2025-10-25 00:20:43.349","church_faith",,"true",
"368","Dominium",,,,"1","2024-02-21 00:00:00","2025-10-25 00:11:59.452668","2025-10-25 00:11:59.452668",,,"false",
"369","National Sandwich Day",,,,"1","2023-11-03 00:00:00","2025-10-25 00:11:59.646673","2025-10-25 00:11:59.646673",,,"false",
"370","Keller Williams Realty First",,,,"1","2022-07-12 00:00:00","2025-10-25 00:11:59.844164","2025-10-25 00:11:59.844164",,,"false",
"371","Syensqo",,,,"1","2025-11-13 00:00:00","2025-10-25 00:12:00.038239","2025-10-25 00:12:00.038239",,,"false",
"372","Mary Lynn Elementary School",,,,"1","2023-11-15 00:00:00","2025-10-25 00:12:00.233083","2025-10-25 00:20:43.415","school","public","false",
"373","Georgia Lions Lighthouse Foundation",,,,"1","2025-09-25 00:00:00","2025-10-25 00:12:00.491475","2025-10-25 00:12:00.491475",,,"false",
"374","Slow Food Atlanta",,,,"1","2025-08-03 16:00:00","2025-10-25 00:12:00.685343","2025-10-25 00:12:00.685343",,,"false",
"375","St. Pius Baseball",,,,"1","2023-03-19 00:00:00","2025-10-25 00:12:00.880455","2025-10-25 00:12:00.880455",,,"false",
"376","Franklin Street",,,,"1","2023-02-15 00:00:00","2025-10-25 00:12:01.074293","2025-10-25 00:12:01.074293",,,"false",
"377","Marist School",,,,"11","2025-09-26 12:00:00","2025-10-25 00:12:01.268559","2025-10-25 00:12:01.268559",,,"false",
"378","Moms Group",,,,"1","2024-03-14 00:00:00","2025-10-25 00:12:01.470123","2025-10-25 00:20:43.48","large_corp",,"false",
"379","Ogletree Deakins",,,,"2","2023-09-13 00:00:00","2025-10-25 00:12:01.665169","2025-10-25 00:12:01.665169",,,"false",
"380","Haskell",,,,"4","2025-03-26 16:00:00","2025-10-25 00:12:01.858899","2025-10-25 00:12:01.858899",,,"false",
"381","Morgan Stanley",,,,"5","2025-12-17 00:00:00","2025-10-25 00:12:02.052671","2025-10-25 00:12:02.052671",,,"false",
"382","Brown Bag Marketing",,,,"1","2024-05-16 00:00:00","2025-10-25 00:12:02.276945","2025-10-25 00:12:02.276945",,,"false",
"383","RD Head Elementary Jr Beta",,,,"1","2025-03-19 00:00:00","2025-10-25 00:12:02.54344","2025-10-25 00:20:43.545","school","public","false",
"384","Moms Demand Action",,,,"1","2023-03-29 00:00:00","2025-10-25 00:12:02.737239","2025-10-25 00:12:02.737239",,,"false",
"385","Valor Christian Academy",,,,"3","2023-09-09 00:00:00","2025-10-25 00:12:02.931705","2025-10-25 00:20:43.61","school","public","true",
"386","Anglican Church",,,,"1","2024-05-08 00:00:00","2025-10-25 00:12:03.127627","2025-10-25 00:20:43.676","church_faith",,"true",
"387","Kforce",,,,"1","2023-03-15 00:00:00","2025-10-25 00:12:03.321465","2025-10-25 00:12:03.321465",,,"false",
"388","Pepsi",,,,"1","2025-09-17 00:00:00","2025-10-25 00:12:03.516739","2025-10-25 00:12:03.516739",,,"false",
"389","South Gwinnett High School",,,,"1","2024-02-22 00:00:00","2025-10-25 00:12:03.710149","2025-10-25 00:20:43.742","school","public","false",
