"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"45","Georgia Tech",,,,"12","2025-10-21 00:00:00","2025-10-25 00:10:44.669246","2025-10-25 00:10:44.669246",,,"false",
"46","Woodward",,,,"1","2022-09-23 00:00:00","2025-10-25 00:10:44.869305","2025-10-25 00:10:44.869305",,,"false",
"47","Christ the King School",,,,"3","2025-10-22 00:00:00","2025-10-25 00:10:45.06491","2025-10-25 00:10:45.06491",,,"false",
"48","Emory Cares/Slow Food Atlanta)",,,,"1","2022-11-12 00:00:00","2025-10-25 00:10:45.260886","2025-10-25 00:10:45.260886",,,"false",
"49","Chimney Lakes subdivision",,,,"1","2024-11-10 00:00:00","2025-10-25 00:10:45.456413","2025-10-25 00:10:45.456413","neighborhood",,"false",
"50","Lanier High School",,,,"1","2024-07-11 00:00:00","2025-10-25 00:10:45.654332","2025-10-25 00:20:36.292","school","public","false",
"51","Cherokee Bluff High School (Legacy)",,,,"1","2023-02-22 00:00:00","2025-10-25 00:10:45.850794","2025-10-25 00:20:36.357","school","public","false",
"52","Jack and Jill",,,,"1","2024-01-15 00:00:00","2025-10-25 00:10:46.046499","2025-10-25 00:10:46.046499","youth_civic",,"false",
"53","Marist",,,,"1","2023-12-28 00:00:00","2025-10-25 00:10:46.242224","2025-10-25 00:10:46.242224","church_school_athletics",,"false","swim team"
"54","Girl Scouts",,,,"1","2025-11-09 00:00:00","2025-10-25 00:10:46.437859","2025-10-25 00:10:46.437859","youth_civic",,"false","Troop 24176"
"55","Homeowners Financial Group",,,,"2","2025-09-09 00:00:00","2025-10-25 00:10:46.632692","2025-10-25 00:20:36.422","midsize_corp",,"false",
"56","Compassion in Action (collaboration with Compassionate Atlanta)",,,,"1","2025-11-02 00:00:00","2025-10-25 00:10:46.826904","2025-10-25 00:10:46.826904",,,"false",
"57","NJHS",,,,"1","2022-05-14 00:00:00","2025-10-25 00:10:47.02212","2025-10-25 00:10:47.02212",,,"false",
"58","Holy Innocents Episcopal School",,,,"1","2025-09-30 00:00:00","2025-10-25 00:10:47.226923","2025-10-25 00:10:47.226923","school","private","true",
"59","Wesleyan",,,,"1","2023-12-19 00:00:00","2025-10-25 00:10:47.42206","2025-10-25 00:10:47.42206","school","private","true",
"60","Dacula United Methodist Church",,,,"1","2025-10-18 00:00:00","2025-10-25 00:10:47.62345","2025-10-25 00:20:36.488","church_faith",,"true",
"61","Interfaith Festival",,,,"1","2025-09-14 00:00:00","2025-10-25 00:10:47.820887","2025-10-25 00:10:47.820887","faith_group",,"false",
"62","Warner Bros. Discovery",,,,"1","2023-06-15 00:00:00","2025-10-25 00:10:48.016153","2025-10-25 01:16:31.038","large_corp",,"false",
"63","Solentra Global",,,,"1","2022-07-19 00:00:00","2025-10-25 00:10:48.211425","2025-10-25 00:20:36.554","large_corp",,"false",
"64","Health Care Leaders",,,,"1","2023-05-24 00:00:00","2025-10-25 00:10:48.405815","2025-10-25 00:10:48.405815",,,"false",
"65","Korean-American Community",,,,"1","2025-10-26 00:00:00","2025-10-25 00:10:48.599869","2025-10-25 00:10:48.599869","cultural",,"false",
"66","Delta Sigma Theta",,,,"1","2023-03-25 00:00:00","2025-10-25 00:10:48.800841","2025-10-25 00:10:48.800841","greek",,"false","Marietta Roswell Chapter "
"67","Koch Global Services",,,,"1","2025-01-07 00:00:00","2025-10-25 00:10:48.994818","2025-10-25 00:20:36.619","large_corp",,"false",
"68","Swan Tranportation",,,,"1","2022-07-19 00:00:00","2025-10-25 00:10:49.25612","2025-10-25 00:10:49.25612","small_corp",,"false",
"69","River Trail Middle School",,,,"1","2024-11-20 00:00:00","2025-10-25 00:10:49.450657","2025-10-25 00:20:36.709","school","public","false",
"70","Springmont School",,,,"1","2023-12-15 00:00:00","2025-10-25 00:10:49.655327","2025-10-25 00:10:49.655327","school","private","true",
"71","RELEX Solutions",,,,"1","2025-08-20 16:00:00","2025-10-25 00:10:49.852983","2025-10-25 00:20:36.773","small_medium_corp",,"false",
"72","SiteOne Landscape Supply",,,,"1","2022-11-04 00:00:00","2025-10-25 00:10:50.047892","2025-10-25 00:10:50.047892","midsize_corp",,"false",
"73","Cherokee Charter",,,,"1","2024-04-17 00:00:00","2025-10-25 00:10:50.255679","2025-10-25 00:20:36.838","school","charter","false",
"74","Fleetcor",,,,"1","2022-06-01 00:00:00","2025-10-25 00:10:50.45081","2025-10-25 00:10:50.45081","large_corp",,"false",
"75","UP Swell Marketing",,,,"1","2022-08-16 00:00:00","2025-10-25 00:10:50.659924","2025-10-25 00:10:50.659924","small_corp",,"false",
"76","ESO Personnel Management",,,,"1","2023-06-19 00:00:00","2025-10-25 00:10:50.854165","2025-10-25 00:10:50.854165",,,"false",
"77","Barnwell Elementary",,,,"1","2025-01-20 00:00:00","2025-10-25 00:10:51.049374","2025-10-25 00:20:36.903","school","public","false",
"78","Newell",,,,"1","2025-11-11 00:00:00","2025-10-25 00:10:51.244172","2025-10-25 00:10:51.244172","large_corp",,"false",
"79","Marni",,,,"1","2023-11-19 00:00:00","2025-10-25 00:10:51.441136","2025-10-25 00:10:51.441136",,,"false",
"80","Dor Tamid Synagogue",,,,"1","2023-02-15 00:00:00","2025-10-25 00:10:51.634472","2025-10-25 00:20:36.968","temple",,"true",
